"1642","RL - Special Duty Officer (Information Warfare) Trainee","Officer"
"1643","RL - Special Duty - Photograph","Officer"
"1643","RL - Special Duty Officer (Information Warfare) Trainee","Officer"
"1645","RL - Special Duty - Photograph","Officer"
"1645","RL - Special Duty Officer (Information Warfare) Trainee","Officer"
"1647","RL - Special Duty - Photograph","Officer"
"1647","RL - Special Duty Officer (Information Warfare) Trainee","Officer"
"1648","RL - Special Duty - Photograph","Officer"
"1648","RL - Special Duty Officer (Information Warfare) Trainee","Officer"
"1649","RL - Special Duty - Photograph","Officer"
"1649","RL - Special Duty Officer (Information Warfare) Trainee","Officer"
"1650","RL - Special Duty Officer (Public Affairs)","Officer"
"1653","RL - Special Duty Officer (Public Affairs)","Officer"
"1655","RL - Special Duty Officer (Public Affairs)","Officer"
"1657","RL - Special Duty Officer (Public Affairs)","Officer"
"1660","RL - Special Duty - Merchant Marine","Officer"
"1663","RL - Special Duty - Merchant Marine","Officer"
"1665","RL - Special Duty - Merchant Marine","Officer"
"1667","RL - Special Duty - Merchant Marine","Officer"
"1680","RL - Special Duty Officer (Reserve Recruiting)","Officer"
"1683","RL - Special Duty Officer (Reserve Recruiting)","Officer"
"1685","RL - Special Duty Officer (Reserve Recruiting)","Officer"
"1687","RL - Special Duty Officer (Reserve Recruiting)","Officer"
"1690","RL - Special Duty - Merchant Marine","Officer"
"1693","RL - Special Duty - Merchant Marine","Officer"
"1695","RL - Special Duty - Merchant Marine","Officer"
"1697","RL - Special Duty - Merchant Marine","Officer"
"1700","RL - Special Duty - Fleet Support","Officer"
"1703","RL - Special Duty - Fleet Support","Officer"
"1705","RL - Special Duty - Fleet Support","Officer"
"1707","RL - Special Duty - Fleet Support","Officer"
"1710","RL - Special Duty - Foreign Area Officer","Officer"
"1713","RL - Special Duty - Foreign Area Officer","Officer"
"1715","RL - Special Duty - Foreign Area Officer","Officer"
"1717","RL - Special Duty - Foreign Area Officer","Officer"
"1720","RL - Special Duty - Foreign Area Officer","Officer"
"1723","RL - Special Duty - Foreign Area Officer","Officer"
"1725","RL - Special Duty - Foreign Area Officer","Officer"
"1727","RL - Special Duty - Foreign Area Officer","Officer"
"1800","RL - Special Duty Officer (Oceanography)","Officer"
"1803","RL - Special Duty Officer (Oceanography)","Officer"
"1805","RL - Special Duty Officer (Oceanography)","Officer"
"1807","RL - Special Duty Officer (Oceanography)","Officer"
"1820","RL - Special Duty Officer Billet - Information Professional Officer","Officer"
"1823","RL - Special Duty Officer Billet - Information Professional Officer","Officer"
"1825","RL - Special Duty Officer Billet - Information Professional Officer","Officer"
"1827","RL - Special Duty Officer Billet - Information Professional Officer","Officer"
"1830","RL - Special Duty Officer - Intelligence Officer","Officer"
"1833","RL - Special Duty Officer - Intelligence Officer","Officer"
"1835","RL - Special Duty Officer - Intelligence Officer","Officer"
"1837","RL - Special Duty Officer - Intelligence Officer","Officer"
"1840","RL - Special Duty Officer - Cyber Warfare Engineer","Officer"
"1843","RL - Special Duty Officer - Cyber Warfare Engineer","Officer"
"1845","RL - Special Duty Officer - Cyber Warfare Engineer","Officer"
"1847","RL - Special Duty Officer - Cyber Warfare Engineer","Officer"
"1850","RL - IDC (Information Dominance Corps) Officer","Officer"
"1853","RL - IDC (Information Dominance Corps) Officer","Officer"
"1855","RL - IDC (Information Dominance Corps) Officer","Officer"
"1857","RL - IDC (Information Dominance Corps) Officer","Officer"
"1900","URL - Prospective Nurse Corps Officer","Officer"
"1903","URL - Prospective Nurse Corps Officer","Officer"
"1905","URL - Prospective Nurse Corps Officer","Officer"
"1907","URL - Prospective Nurse Corps Officer","Officer"
"1910","URL - Prospective Medical Corps Officer (Senior Medical Student)","Officer"
"1913","URL - Prospective Medical Corps Officer (Senior Medical Student)","Officer"
"1915","URL - Prospective Medical Corps Officer (Senior Medical Student)","Officer"
"1917","URL - Prospective Medical Corps Officer (Senior Medical Student)","Officer"
"1920","URL - Prospective Dental Corps Officer","Officer"
"1923","URL - Prospective Dental Corps Officer","Officer"
"1925","URL - Prospective Dental Corps Officer","Officer"
"1927","URL - Prospective Dental Corps Officer","Officer"
"1930","URL - Prospective Medical Service Corps Officer (Optometry)","Officer"
"1933","URL - Prospective Medical Service Corps Officer (Optometry)","Officer"
"1935","URL - Prospective Medical Service Corps Officer (Optometry)","Officer"
"1937","URL - Prospective Medical Service Corps Officer (Optometry)","Officer"
"1940","URL - Prospective Chaplain Corps Officer","Officer"
"1943","URL - Prospective Chaplain Corps Officer","Officer"
"1945","URL - Prospective Chaplain Corps Officer","Officer"
"1947","URL - Prospective Chaplain Corps Officer","Officer"
"2100","SC - Medical Corps","Officer"
"2103","SC - Medical Corps","Officer"
"2105","SC - Medical Corps","Officer"
"2107","SC - Medical Corps","Officer"
"2200","SC - Dental Corps","Officer"
"2203","SC - Dental Corps","Officer"
"2205","SC - Dental Corps","Officer"
"2207","SC - Dental Corps","Officer"
"2300","SC - Medical Service Corps","Officer"
"2303","SC - Medical Service Corps","Officer"
"2305","SC - Medical Service Corps","Officer"
"2307","SC - Medical Service Corps","Officer"
"2500","SC - Judge Advocate General Corps","Officer"
"2503","SC - Judge Advocate General Corps","Officer"
"2505","SC - Judge Advocate General Corps","Officer"
"2507","SC - Judge Advocate General Corps","Officer"
"2620","SC - Health Care Professional","Officer"
"2623","SC - Health Care Professional","Officer"
"2625","SC - Health Care Professional","Officer"
"2627","SC - Health Care Professional","Officer"
"2630","SC - Health Care Professional","Officer"
"2633","SC - Health Care Professional","Officer"
"2635","SC - Health Care Professional","Officer"
"2637","SC - Health Care Professional","Officer"
"2640","SC - Health Care Professional","Officer"
"2643","SC - Health Care Professional","Officer"
"2645","SC - Health Care Professional","Officer"
"2647","SC - Health Care Professional","Officer"
"2700","SC - Active Duty Nurse Corps","Officer"
"2703","SC - Active Duty Nurse Corps","Officer"
"2705","SC - Active Duty Nurse Corps","Officer"
"2707","SC - Active Duty Nurse Corps","Officer"
"2900","SC - Nurse Corps - General","Officer"
"2903","SC - Nurse Corps - General","Officer"
"2905","SC - Nurse Corps - General","Officer"
"2907","SC - Nurse Corps - General","Officer"
"3100","SC - Supply Corps Officer","Officer"
"3103","SC - Supply Corps Officer","Officer"
"3105","SC - Supply Corps Officer","Officer"
"3107","SC - Supply Corps Officer","Officer"
"3160","SC - Direct Commissioned Supply Corps Trainee","Officer"
"3163","SC - Direct Commissioned Supply Corps Trainee","Officer"
"3165","SC - Direct Commissioned Supply Corps Trainee","Officer"
"3167","SC - Direct Commissioned Supply Corps Trainee","Officer"
"6110","LDO - Deck","Officer"
"6113","LDO - Deck","Officer"
"6115","LDO - Deck","Officer"
"6117","LDO - Deck","Officer"
"6120","LDO - Operations","Officer"
"6123","LDO - Operations","Officer"
"6125","LDO - Operations","Officer"
"6127","LDO - Operations","Officer"
"6150","LDO - Special Warfare Technician","Officer"
"6153","LDO - Special Warfare Technician","Officer"
"6155","LDO - Special Warfare Technician","Officer"
"6157","LDO - Special Warfare Technician","Officer"
"6160","LDO - Ordnance","Officer"
"6163","LDO - Ordnance","Officer"
"6165","LDO - Ordnance","Officer"
"6167","LDO - Ordnance","Officer"
"6180","LDO - Electronics","Officer"
"6183","LDO - Electronics","Officer"
"6185","LDO - Electronics","Officer"
"6187","LDO - Electronics","Officer"
"6190","LDO - Communications","Officer"
"6193","LDO - Communications","Officer"
"6195","LDO - Communications","Officer"
"6197","LDO - Communications","Officer"
"6210","LDO - Deck","Officer"
"6213","LDO - Deck","Officer"
"6215","LDO - Deck","Officer"
"6217","LDO - Deck","Officer"
"6220","LDO - Operations","Officer"
"6223","LDO - Operations","Officer"
"6225","LDO - Operations","Officer"
"6227","LDO - Operations","Officer"
"6250","LDO - Nuclear Power","Officer"
"6253","LDO - Nuclear Power","Officer"
"6255","LDO - Nuclear Power","Officer"
"6257","LDO - Nuclear Power","Officer"
"6260","LDO - Ordnance","Officer"
"6263","LDO - Ordnance","Officer"
"6265","LDO - Ordnance","Officer"
"6267","LDO - Ordnance","Officer"
"6280","LDO - Electronics","Officer"
"6283","LDO - Electronics","Officer"
"6285","LDO - Electronics","Officer"
"6287","LDO - Electronics","Officer"
"6290","LDO - Communications","Officer"
"6293","LDO - Communications","Officer"
"6295","LDO - Communications","Officer"
"6297","LDO - Communications","Officer"
"6300","LDO - Naval Aviator","Officer"
"6303","LDO - Naval Aviator","Officer"
"6305","LDO - Naval Aviator","Officer"
"6307","LDO - Naval Aviator","Officer"
"6310","LDO - Deck","Officer"
"6313","LDO - Deck","Officer"
"6315","LDO - Deck","Officer"
"6317","LDO - Deck","Officer"
"6320","LDO - Operations","Officer"
"6323","LDO - Operations","Officer"
"6325","LDO - Operations","Officer"
"6327","LDO - Operations","Officer"
"6330","LDO - Maintenance","Officer"
"6333","LDO - Maintenance","Officer"
"6335","LDO - Maintenance","Officer"
"6337","LDO - Maintenance","Officer"
"6350","LDO - Hull","Officer"
"6353","LDO - Hull","Officer"
"6355","LDO - Hull","Officer"
"6357","LDO - Hull","Officer"
"6360","LDO - Ordnance","Officer"
"6363","LDO - Ordnance","Officer"
"6365","LDO - Ordnance","Officer"
"6367","LDO - Ordnance","Officer"
"6370","LDO - Electrician","Officer"
