"Florida","Naval Station Mayport","no","navy"
"Florida","Naval Support Activity Panama City","no","navy"
"Florida","Pensacola Florida Military Bases","no","navy"
"Georgia","Naval Submarine Base Kings Bay","no","navy"
"Hawaii","Joint Base Pearl Harbor - Hickam","yes","navy"
"Hawaii","Naval Station Pearl Harbor","yes","navy"
"Hawaii","Oahu Hawaii Military Bases","yes","navy"
"Illinois","Naval Station Great Lakes","no","navy"
"Louisiana","Naval Air Station Joint Reserve Base New Orleans","no","navy"
"Maryland","Joint Base Andrews","no","navy"
"Maryland","NSA Bethesda Walter Reed Medical Center","no","navy"
"Maryland","National Naval Medical Center","no","navy"
"Maryland","Naval Air Station Patuxent River","no","navy"
"Maryland","Navy Fort Meade","no","navy"
"Maryland","US Naval Academy","no","navy"
"Mississippi","Naval Air Station Meridian","no","navy"
"Mississippi","Naval Construction Battalion Center Gulfport","no","navy"
"Nevada","Naval Air Station Fallon","no","navy"
"New York","Naval Support Activity Saratoga Springs","no","navy"
"Rhode Island","Naval Station Newport","no","navy"
"South Carolina","Beaufort South Carolina Military Bases","no","navy"
"South Carolina","Joint Base Charleston","no","navy"
"South Carolina","Naval Hospital Beaufort","no","navy"
"South Carolina","Naval Weapons Station Charleston","no","navy"
"Tennessee","Naval Support Activity Mid-South","no","navy"
"Texas","Naval Air Station Corpus Christi","no","navy"
"Texas","Naval Air Station Joint Reserve Base Fort Worth","no","navy"
"Virginia","Hampton Roads Military Bases","no","navy"
"Virginia","Joint Expeditionary Base Little Creek - Fort Story","no","navy"
"Virginia","Naval Air Station Oceana","no","navy"
"Virginia","Naval Air Station Oceana Dam Neck Annex","no","navy"
"Virginia","Naval Amphibious Base Little Creek","no","navy"
"Virginia","Naval Station Norfolk","no","navy"
"Washington","Naval Air Station Whidbey Island","no","navy"
"Washington","Naval Base Kitsap","no","navy"
"Washington","Naval Base Kitsap - Bangor","no","navy"
"Washington","Naval Base Kitsap - Bremerton","no","navy"
"Washington","Naval Hospital Bremerton","no","navy"
"Washington","Naval Station Everett","no","navy"
"Bahrain","Naval Support Activity Bahrain","yes","navy"
"Cuba","Naval Station Guantanamo Bay","yes","navy"
"Greece","US Naval Support Activity Souda Bay","yes","navy"
"Italy","Naval Air Station Sigonella","yes","navy"
"Italy","Naval Support Activity Naples","yes","navy"
"Japan","Commander Fleet Activities Sasebo","yes","navy"
"Japan","Commander Fleet Activities Yokosuka","yes","navy"
"Japan","Naval Air Facility Atsugi","yes","navy"
"Korea","Commander Fleet Activities Chinhae","yes","navy"
"Singapore","Navy Region Singapore","yes","navy"
"Spain","Naval Station Rota","yes","navy"
"United Kingdom","Navy Support Facility Diego Garcia","yes","navy"
